no,nombre_del_museo,telefono_fijo,celular,correo_electrãnico,pagina_web,direccion,localidad,upz,nombre_de_la_entidad_administradora_del_equipamiento,ano_inicio,caracter,del_orden,uso_principal
15,BIBLIOTECA PÚBLICA LA VICTORIA,3790165 EXT 6030,3102939857,direccion_vt@biblored.gov.co,http://www.biblored.gov.co/biblioteca-victoria,KR 37 BIS B SUR 2 81 ESTE,SAN CRISTÓBAL,LA GLORIA,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,1992,PÚBLICO,LOCAL,Biblioteca
80,BIBLIOTECA COMUNITARIA IVARDA COLL LA AGUADITA,6831758,3144721004,fundacionpenhaac@outlook.com,N.D,CL 129A 87 47,SUBA,EL RINCON,BIBLIOTECA COMUNITARIA IVARDA COLL LA AGUADITA,N.D,PRIVADA,,Biblioteca
74,ASOCIACION IL NIDO DEL GUFO,4937754 - 6931907,3178104676,INFO.CO@NIDO DEL GUFO.ORG,http://www.nidodelgufo.org/site.php?site=it&lang=italiano&section=5x1000,KR 154 135 22,SUBA,TIBABUYES,ASOCIACIÓN IL NIDO DEL GUFO: BILIOTECA - LUDOTECA- CENTRO CULTURAL,2000,PRIVADA,,Biblioteca
103,FUNDACIÓN MANOS CREADORAS,7900433,3132098505,funmanosKreadoras@hotmail.com,N.D,KR 18A BIS 78 03 SUR,CIUDAD BOLÍVAR,EL TESORO,FUNDACIÓN MANOS CREADORAS,N.D,PRIVADA,,Biblioteca
12,BIBLIOTECA COMUNITARIA JAC VILLA DEL CERRO,3676006,N.D,N.D,N.D,CL 46 SUR 3D 40 ESTE,SAN CRISTÓBAL,LOS LIBERTADORES,BIBLIOTECA COMUNITARIA JAC VILLA DEL CERRO,N.D,PRIVADA,,Biblioteca
135,SALA DE LECTURA FUNDACIÓN GRUPO SOCIAL COMUNIARIO EL ARCA DE ISMAEL,2883995,3184118179,monicalopezmoreno76@gmail.com,N.D,TV 1A BIS 40 23 ESTE,CHAPINERO,PARDO RUBIO,FUNDACIÓN GRUPO SOCIAL COMUNIARIO EL ARCA DE ISMAEL,N.D,PRIVADA,,Biblioteca
77,BIBLIOTECA COMUNITARIA LAS MARGARITAS,5379788,3133847880,conjuntomargaritasph@hotmail.com,N.D,CL 144 127C 62,SUBA,TIBABUYES,BIBLIOTECA COMUNITARIA LAS MARGARITAS,N.D,PRIVADA,,Biblioteca
101,BIBLIOTECA COMUNITARIA CONSTRUIR COMUNIDAD,6756169,3012639538,bibliotecaconstruirc@gmail.com,N.D,KR 26A BIS B 76 44 SUR,CIUDAD BOLÍVAR,LUCERO,BIBLIOTECA COMUNITARIA CONSTRUIR COMUNIDAD,N.D,PRIVADA,,Biblioteca
49,BIBLIOTECA JOSE GUILLERMO CHAMINADE,N.D,N.D,N.D,N.D,KR 77A  47 07 SUR,KENNEDY,TIMIZA,PARROQUIA NUESTRA SEÑORA DE LA CARIDAD,1989,PRIVADA,,Biblioteca
52,BIBLIOTECA COMUNITARIA VALENCIA BOMBAY,N.D,3177723632,N.D,N.D,CL 38 SUR 78 24,KENNEDY,KENNEDY CENTRAL,BIBLIOTECA COMUNITARIA VALENCIA BOMBAY,N.D,PRIVADA,,Biblioteca
24,CENTRO DE DESARROLLO COMUNITARIO KOLPING USME,7682644,N.D,CDCKU@KOLPINGCOLOMBIA.COM,http://www.integracionsocial.gov.co/,KR 4G BIS ESTE 93 16,USME,COMUNEROS,SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL,1998,PÚBLICO,DISTRITAL,Biblioteca
111,BIBLIOTECA COMUNITARIA CENTO DE ACOGIDA DÍA NOCHE,2478038,3104443814,N.D,N.D,KR 35 10 69,PUENTE ARANDA,ZONA INDUSTRIAL,BIBLIOTECA COMUNITARIA CENTO DE ACOGIDA DÍA NOCHE,N.D,PRIVADA,,Biblioteca
9,BIBLIOTECA PÚBLICA LA PEÑA,3790177 EXT 6151,N.D,direccion_pn@biblored.gov.co,http://www.biblored.gov.co/biblioteca-pena,KR 7 ESTE 5 57,SANTA FE,LOURDES,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2007,PÚBLICO,LOCAL,Biblioteca
40,CORPORACIÓN CULTURAL Y RECREATIVA DON SEGUNDO,7769081,3177324340,N.D,N.D,CL 73 80J 27 SUR,BOSA,BOSA CENTRAL,CORPORACIÓN CULTURAL Y RECREATIVA DON SEGUNDO,N.D,PRIVADA,,Biblioteca
116,CENTRO CULTURAL MOLINOS - CORPORACIÓN COLECTIVO DIGERATI - BIBLIOTECA ESCOLAR JAIRO ANIBAL NIÑO,7609287 - 2799242,3213675274,corporacion@digerati.org.co,N.D,CL 49D BIS SUR 5X 02,RAFAEL URIBE URIBE,MARRUECOS,INSTITUCIÓN EDUCATIVA  MARRUECOS Y MOLINOS,N.D,PRIVADA,,Biblioteca
105,BIBLIOTECA PÚBLICA ALBERTO GUTIERREZ BOTERO,2010777,N.D,biblioricaurte@bibliored.edu.co,N.D,CL 9 28A 43,LOS MÁRTIRES,LA SABANA,CORPORACIÓN SOCIAL SERVIMOS,1998,PRIVADA,,Biblioteca
131,BIBLIOTECA COMUNITARIA ALEXANDER CONTRERAS,N.D,N.D,N.D,N.D,KR 12A ESTE 97 61,CHAPINERO,SAN ISIDRO - PATIOS,BIBLIOTECA COMUNITARIA ALEXANDER CONTRERAS,N.D,PRIVADA,,Biblioteca
5,BIBLIOTECA COMUNITARIA CENTRO DE DESARROLLO COMUNITARIO LOURDES,2897449 - 2894448 - 2330716,3118369095,rosis.home@hotmail.com,N.D,KR 2 4 10,SANTA FE,LOURDES,BIBLIOTECA COMUNITARIA DE CENTRO COMUNITARIO LOURDES (TEATRO),1980,PÚBLICO,,Biblioteca
75,BIBLIOTECA COLEGIO COLSUBSIDIO (CEIC) NORTE,6805939 EXT 7,3174279837,BIBLIOTECA.CEICNORTE@COLSUBSIDIO.COM,http://www.colsubsidio.com/index.php?option=com_content&view=article&id=5&Itemid=205,CL 146F 72C 95,SUBA,CASA BLANCA SUBA,CAJA DE COMPENSACION FAMILIAR COLSUBSIDIO,2008,PRIVADA,,Biblioteca
