no,nombre_del_museo,telefono_fijo,celular,correo_electrãnico,pagina_web,direccion,localidad,upz,nombre_de_la_entidad_administradora_del_equipamiento,ano_inicio,caracter,del_orden,uso_principal
1,BIBLIOTECA HORACIO RODRÁ?GUEZ PLATA Y CASA MUSEO FRANCISCO DE PAULA SANTANDER,609 1441,3173009512,soc.santanderistadecolombia@gmail.com,http://sociedadacademicasantanderista.com/index.html,KR 7 150 21,USAQUÉN,LOS CEDROS,SOCIEDAD ACADÉMICA SANTANDERISTA DE COLOMBIA,1978,PRIVADO,,Museos
2,MUSEO DE ANATOMÁ?A DE LA UNIVERSIDAD DEL BOSQUE,N/RG,N.D,N.D,N.D,KR 7B BIS 132 11,USAQUÉN,USAQUEN,MUSEO DE ANATOMÁ?A DE LA UNIVERSIDAD DEL BOSQUE,,PRIVADO,,Museos
3,MUSEO GEMOLÓGICO,594 1000-610 9988,3123669950,N.D,N.D,CL 161A 18A 19,USAQUÉN,TOBERIN,ASOCIACIÓN TÉCNICO CIENTÁ?FICO DEL ARTE DE LAPIDACIÓN,1998,PRIVADO,,Museos de ciencia
4,CASA MUSEO GRAU,336 6410,3102411333,direccion@fundacionenriquegrau.com,http://www.fundacionenriquegrau.com/contactenos,CL 94 7 48,CHAPINERO,EL REFUGIO,FUNDACIÓN ENRIQUE GRAU,1996,PRIVADO,,Museos
5,CASA MUSEO RICARDO GOMEZ CAMPUZANO,353 5666 EXT. 5821,N.D,casagomezcampuzano@banrep.gov.co,http://www.banrepcultural.org/casa-gomez-campuzano/,CL 80 8 66,CHAPINERO,EL REFUGIO,BANCO DE LA REPUBLICA - SUBGERENCIA CULTURAL,1999,PRIVADO,,Museos
6,MUSEO MERCEDES SIERRA DE PEREZ - EL CHICÓ,NO TIENE,N.D,mariajimenaangarita@museodelchico.com,http://www.museodelchico.com/,KR 7 93 01,CHAPINERO,EL REFUGIO,SOCIEDAD DE MEJORAS Y ORNATO DE BOGOTÁ?,1964,PRIVADO,,Museos
7,ASOCIACIÓN NUEVA ACROPOLIS,334 4150,N.D,N.D,N.D,CL 70 A 11 48,CHAPINERO,CHICO LAGO,ASOCIACIÓN NUEVA ACROPOLIS,,PRIVADO,,Museos
8,MUSEO DE HISTORIA DE LA MEDICINA,236 4669-610 7782,N.D,presidencia@anmdecolombia.com,http://anmdecolombia.net/,KR 7 69 05,CHAPINERO,CHICO LAGO,ACADEMIA NACIONAL DE MEDICINA,2000,PRIVADO,,Museos de ciencia
9,MUSEO DE HISTORIA NATURAL,623 1066,300 363 2308,coordinaciónabi@pedagogica.edu.co,http://www.pedagogica.edu.co/,CL 73 11 95,CHAPINERO,CHICO LAGO,UNIVERSIDAD PEDAGÓGICA NACIONAL,1984,PÚBLICO,NACIONAL,Museos de ciencia
10,MUSEO JAVERIANO DE HISTORIA NATURAL LORENZO URIBE S J,257 6547,3133939712,fggomez@javeriana.edu.co,http://www.javeriana.edu.co/home#.VaPKfPk35aQ,KR 7 41 41 EDIFICIO 53,CHAPINERO,CHAPINERO,UNIVERSIDAD JAVERIANA,1993,PRIVADO,,Museos
11,FOTOMUSEO: MUSEO NACIONAL DE LA FOTOGRAFÍA DE COLOMBIA,635 5153,N.D,fotomuseobogota@fotomuseo.org,http://www.fotomuseo.org/,CL 19 3 50,SANTA FE,LAS NIEVES,FOTOMUSEO: MUSEO NACIONAL DE LA FOTOGRAÁ?A DE COLOMBIA,,PRIVADO,,Museos
12,MUSEO DE ARTE Y CULTURA COLSUBSIDIO,256 9534,N.D,comunicaciones.museo@colsubsidio.com,http://www.colsubsidio.com/index.php?option=com_content&view=article&id=2&Itemid=111,CL 36 5A 16,SANTA FE,SAGRADO CORAZON,CAJA DE COMPENSACION FAMILIAR COLSUBSIDIO,1969,PRIVADO,,Museos
13,MUSEO DE ARTE MODERNO,616 2211-EXT 135,N.D,comunicaciones@mambogota.com  / curadurÁ­amambo@gmail.com,http://www.mambogota.com/web/,CL 24 06 01,SANTA FE,LAS NIEVES,MUSEO DE ARTE MODERNO,1963,PRIVADO,,Museos
