no,nombre_del_museo,telefono_fijo,celular,correo_electrãnico,pagina_web,direccion,localidad,upz,nombre_de_la_entidad_administradora_del_equipamiento,ano_inicio,caracter,del_orden,uso_principal
38,TEATRO JORGE ELIECER GAÍTAN,3343451,3112309801,jose.rios@idartes.gov.co,http:/www.teatrojorgeeliecer.gov.co,KR 7 22 47,SANTA FE,LAS NIEVES,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,1973,PÚBLICA,Teatro / Auditorio,
11,CLUB DE TEATRO EXPERIMENTAL LA MAMA,2112709,3004552232,teatrolamama@yahoo.com,http://www.teatrolamama.com/,CL 63 9 60,CHAPINERO,CHAPINERO,DAMIAN ARMANDO RODRIGUEZ,N.D,PRIVADA,Teatro / Auditorio,
40,CENTRO DE DESARROLLO COMUNITARIO LOURDES,2330716,3157244086,cdclourdesantafecandelaria@gmail.com,http://www.integracionsocial.gov.co/,KR 2 4 10,SANTA FE,LOURDES,SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL,1983,PÚBLICA,Teatro / Auditorio,
57,TEATRO ESTUDIO LA GATA CIRKO,3456085,3102181946,lagatacirko@gmail.com,N.D,KR 20 71 22,BARRIOS UNIDOS,LOS ALCAZARES,LA GATA,2007,PRIVADA,Teatro / Auditorio,
65,TEATRO COLÓN,284742000,N.D,N.D,N.D,CL 10 5 32,CANDELARIA,LA CANDELARIA,TEATRO COLÓN,N.D,PÚBLICA,Teatro / Auditorio,
54,TEATRO DE BELLAS ARTES DE BOGOTÁ,6444900,3176463770,contactenos@teatrodebellasartesbogota.com,http://www.cafam.com.co/cultura/teatro-cafam-de-bellas-artes,AK 68 90 88,BARRIOS UNIDOS,LOS ANDES,CAJA DE COMPENSACIÓN FAMILIAR CAFAM,N.D,PRIVADA,Teatro / Auditorio,
3,AUDITORIO COLEGIO DE NUESTRA SEÑORA DEL BUEN CONSEJO,2562963,3203404329,info@colbuenco.edu.co,http://www.colbuenco.edu.co/,CL 104 17 22,USAQUÉN,SANTA BARBARA,COLEGIO DE NUESTRA SEÑORA DEL BUEN CONSEJO - RELIGIOSAS AGUSTINAS MISIONERAS,1962,PRIVADA,Teatro / Auditorio,
96,FUNDACIÓN LA MALDITA VANIDAD TEATRO,6055312,3192487560,lamalditavanidad@mediosyartes.com,http://www.lamalditavanidadteatro.com/,AK 19 45A 17,TEUSAQUILLO,TEUSAQUILLO,FUNDACIÓN LA MALDITA VANIDAD TEATRO,N.D,PRIVADA,Teatro / Auditorio,
43,TEATRO GARAJE,2142440,3102055075,teatrodegaraje@gmail.com,N.D,CL 19 4 71 LOCAL 406   407,SANTA FE,LAS NIEVES,C. C. TEATRO GARAJE SAS,2011,PRIVADA,Teatro / Auditorio,
28,CENTRO DE EVENTOS Y CONVENCIONES D T SAS - DOWN TOWN MAJESTIC,2454510 EXT 101  102 Y 103,N.D,elcentrodeconvensiones@gmail.com,http://www.elcentrodeconvenciones.com/,CL 23 6 19,SANTA FE,LAS NIEVES,CENTRO DE EVENTOS Y CONVENCIONES D T SAS - DOWN TOWN MAJESTIC,2005,PRIVADA,Teatro / Auditorio,
20,UNIVERSIDAD SANTO TOMAS - AUDITORIO AULA MAGNA,5878797 EXT 1122,N.D,daisyosorio@usantotomas.edu.co,http://www.usta.edu.co/,KR 9 51A 28,CHAPINERO,CHAPINERO,UNIVERSIDAD SANTO TOMAS DE AQUINO,N.D,PRIVADA,Teatro / Auditorio,
30,TEATRO DE BOGOTÁ,3340293,N.D,bgiralb@ucentral.edu.co,http://www.ucentral.edu.co/,CL 22 5 62,SANTA FE,LAS NIEVES,UNIVERSIDAD CENTRAL,1994,PRIVADA,Teatro / Auditorio,
27,CENTRO DE CONVENCIONES GONZALO JIMÉNEZ DE QUESADA,3422588,3108016658 - 3108013086,kateringblue@gmail.com,http://www.kateringblue.co/,CL 26A 13A 10,SANTA FE,SAGRADO CORAZON,KATERINGBLUE,N.D,PRIVADA,Teatro / Auditorio,
