Subpoblación;Numero de noches pernoctadas;Enero2010;Febrero2010;Marzo2010;Abril2010;Mayo2010;Junio2010;Julio2010;Agosto2010;Septiembre2010;Octubre2010;Noviembre2010;Diciembre2010;Total2010;Enero2011;Febrero2011;Marzo2011;Abril2011;Mayo2011;Junio2011;Julio2011;Agosto2011;Septiembre2011;Octubre2011;Noviembre2011;Diciembre2011;Total2011;Enero2012;Febrero2012;Marzo2012;Abril2012;Mayo2012;Junio2012;julio2012;Agosto2012;Septiembre2012;Octubre2012;Noviembre2012;Diciembre2012;Total2012;Enero2013;Febrero2013;Marzo2013;Abril2013;Mayo2013;Junio2013;Julio2013;Agosto2013;Septiembre2013;Octubre2013;Noviembre2013;Diciembre2013;Total2013;Enero2014;Febrerro2014;Marzo2014;Abril2014;Mayo2014;
No residentes nacionales;Una Noche; 164.411 ; 133.845 ; 140.541 ; 141.513 ; 134.995 ; 141.466 ; 141.597 ; 142.753 ; 137.331 ; 180.324 ; 171.722 ; 162.631 ; 1.793.131 ; 197.892 ; 159.487 ; 156.984 ; 185.378 ; 151.232 ; 177.538 ; 160.718 ; 174.295 ; 161.283 ; 177.518 ; 193.752 ; 157.270 ; 2.053.347 ; 174.914 ; 156.452 ; 167.170 ; 198.282 ; 148.214 ; 180.076 ; 158.620 ; 173.935 ; 211.440 ; 184.943 ; 229.703 ; 167.612 ; 2.151.361 ; 165.527 ; 155.316 ; 124.854 ; 163.580 ; 150.033 ; 171.580 ; 153.379 ; 137.847 ; 89.468 ; 79.738 ; 101.377 ; 95.224 ; 1.587.923 ; 60.983 ; 99.295 ; 145.096 ; 160.640 ; 163.712 ;
No residentes nacionales;Dos Noches; 119.909 ; 113.937 ; 121.598 ; 110.347 ; 131.055 ; 115.849 ; 142.280 ; 146.125 ; 128.210 ; 135.175 ; 171.963 ; 120.282 ; 1.556.731 ; 144.183 ; 135.298 ; 134.638 ; 145.527 ; 144.430 ; 144.524 ; 154.302 ; 150.738 ; 121.067 ; 138.919 ; 181.477 ; 124.842 ; 1.719.944 ; 153.883 ; 137.426 ; 143.547 ; 165.920 ; 131.800 ; 158.115 ; 189.252 ; 167.191 ; 138.923 ; 137.923 ; 193.385 ; 136.378 ; 1.853.743 ; 143.732 ; 135.349 ; 110.679 ; 151.075 ; 159.838 ; 148.934 ; 152.643 ; 127.105 ; 130.540 ; 168.873 ; 150.599 ; 124.667 ; 1.704.034 ; 96.526 ; 108.424 ; 129.334 ; 140.544 ; 133.600 ;
No residentes nacionales;Tres Noches; 78.397 ; 72.589 ; 77.281 ; 76.821 ; 90.908 ; 79.269 ; 110.708 ; 97.760 ; 95.906 ; 98.507 ; 112.340 ; 105.431 ; 1.095.917 ; 94.549 ; 86.751 ; 82.760 ; 100.884 ; 98.465 ; 97.575 ; 101.082 ; 90.131 ; 85.557 ; 77.695 ; 109.852 ; 94.544 ; 1.119.845 ; 99.441 ; 77.698 ; 76.657 ; 101.021 ; 79.045 ; 94.671 ; 97.508 ; 112.441 ; 106.138 ; 84.578 ; 126.527 ; 76.284 ; 1.132.009 ; 89.272 ; 75.814 ; 68.404 ; 98.815 ; 99.902 ; 92.003 ; 112.237 ; 101.574 ; 87.508 ; 108.381 ; 142.148 ; 124.773 ; 1.200.831 ; 114.399 ; 112.457 ; 120.736 ; 88.767 ; 103.619 ;
No residentes nacionales;De 4 a 30 Noches; 270.122 ; 116.256 ; 152.679 ; 197.032 ; 146.603 ; 155.327 ; 237.305 ; 179.656 ; 135.871 ; 172.635 ; 157.918 ; 236.989 ; 2.158.394 ; 327.664 ; 139.282 ; 162.287 ; 259.015 ; 153.674 ; 190.053 ; 232.322 ; 178.491 ; 150.244 ; 169.709 ; 140.477 ; 210.469 ; 2.313.686 ; 299.097 ; 154.780 ; 153.257 ; 271.757 ; 116.373 ; 182.008 ; 223.615 ; 188.359 ; 172.031 ; 161.145 ; 146.684 ; 199.353 ; 2.268.459 ; 258.335 ; 146.373 ; 174.980 ; 216.872 ; 145.140 ; 173.840 ; 254.714 ; 185.097 ; 162.142 ; 220.002 ; 158.037 ; 237.097 ; 2.332.629 ; 235.671 ; 192.349 ; 223.701 ; 253.238 ; 203.640 ;
No residentes nacionales;Mas de 31 Noches; 8.016 ; 7.390 ; 8.383 ; 4.543 ; 3.765 ; 5.591 ; 10.636 ; 6.517 ; 4.550 ; 6.253 ; 8.239 ; 9.769 ; 83.652 ; 9.835 ; 8.916 ; 8.548 ; 6.458 ; 3.831 ; 6.699 ; 9.951 ; 10.609 ; 8.963 ; 13.540 ; 7.073 ; 9.715 ; 104.139 ; 9.692 ; 5.378 ; 11.887 ; 12.229 ; 9.713 ; 9.055 ; 7.322 ; 10.356 ; 8.243 ; 9.696 ; 7.722 ; 11.546 ; 112.839 ; 7.654 ; 4.957 ; 9.087 ; 7.935 ; 7.484 ; 56.798 ; 4.812 ;; 7.920 ; 7.076 ; 6.935 ; 4.733 ; 125.391 ; 20.888 ; 8.379 ; 17.804 ; 7.651 ; 9.771 ;
No residentes internacionales;Una Noche; 7.159 ; 9.542 ; 6.050 ; 4.609 ; 2.424 ; 1.075 ; 3.535 ; 2.928 ; 1.516 ; 2.504 ; 2.255 ; 6.386 ; 49.983 ; 8.626 ; 10.935 ; 6.699 ; 5.554 ; 2.698 ; 1.233 ; 4.390 ; 5.115 ; 4.054 ; 3.567 ; 6.052 ; 2.829 ; 61.753 ; 4.016 ; 8.381 ; 9.201 ; 8.552 ; 5.946 ; 4.411 ; 6.474 ; 7.144 ; 6.376 ; 3.888 ; 7.239 ; 7.249 ; 78.877 ; 3.949 ; 8.864 ; 10.409 ; 6.752 ; 6.598 ; 4.476 ; 4.341 ; 11.007 ; 8.775 ; 6.458 ; 5.007 ; 4.450 ; 81.086 ; 5.905 ; 5.394 ; 7.582 ; 5.796 ; 6.845 ;
No residentes internacionales;Dos Noches; 5.628 ; 7.762 ; 8.595 ; 4.542 ; 5.179 ; 3.662 ; 8.434 ; 6.164 ; 4.965 ; 6.917 ; 6.275 ; 6.826 ; 74.950 ; 6.772 ; 8.747 ; 9.162 ; 5.550 ; 5.894 ; 4.248 ; 10.750 ; 8.052 ; 9.284 ; 10.188 ; 7.888 ; 6.693 ; 93.229 ; 11.518 ; 11.164 ; 13.097 ; 11.109 ; 8.410 ; 6.195 ; 8.198 ; 11.829 ; 8.856 ; 6.630 ; 10.497 ; 7.073 ; 114.576 ; 9.690 ; 12.420 ; 6.396 ; 9.118 ; 9.969 ; 10.418 ; 7.813 ; 18.252 ; 9.954 ; 12.931 ; 10.715 ; 10.087 ; 127.763 ; 14.895 ; 14.839 ; 10.779 ; 10.703 ; 12.136 ;
No residentes internacionales;Tres Noches; 6.710 ; 7.019 ; 8.499 ; 4.901 ; 3.826 ; 4.078 ; 9.038 ; 8.539 ; 6.845 ; 12.098 ; 9.316 ; 8.295 ; 89.164 ; 8.089 ; 7.973 ; 9.080 ; 5.771 ; 4.326 ; 4.640 ; 21.001 ; 11.491 ; 9.977 ; 8.416 ; 9.447 ; 7.231 ; 107.443 ; 8.454 ; 11.310 ; 10.278 ; 12.326 ; 16.077 ; 8.748 ; 10.099 ; 13.259 ; 11.044 ; 10.179 ; 11.611 ; 15.474 ; 138.859 ; 9.929 ; 12.610 ; 14.759 ; 13.298 ; 12.255 ; 10.249 ; 10.904 ; 18.645 ; 12.310 ; 12.773 ; 13.537 ; 13.845 ; 155.114 ; 13.036 ; 9.283 ; 15.356 ; 15.026 ; 13.041 ;
No residentes internacionales;De 4 a 30 Noches; 50.836 ; 52.310 ; 44.958 ; 37.060 ; 38.909 ; 37.380 ; 59.415 ; 59.635 ; 47.902 ; 49.037 ; 42.395 ; 55.842 ; 575.679 ; 61.157 ; 59.768 ; 47.964 ; 44.054 ; 44.229 ; 42.593 ; 70.989 ; 60.417 ; 29.756 ; 36.332 ; 37.773 ; 40.122 ; 575.153 ; 65.660 ; 42.534 ; 44.406 ; 44.521 ; 36.816 ; 40.354 ; 42.869 ; 39.161 ; 40.427 ; 44.041 ; 34.973 ; 47.196 ; 522.958 ; 73.883 ; 46.078 ; 62.655 ; 42.533 ; 52.298 ; 41.438 ; 51.307 ; 71.838 ; 59.007 ; 59.220 ; 46.230 ; 44.158 ; 650.645 ; 52.106 ; 50.843 ; 52.881 ; 69.213 ; 50.335 ;
No residentes internacionales;Mas de 31 Noches; 3.762 ; 3.316 ; 2.897 ; 1.023 ; 2.832 ; 1.835 ; 2.823 ; 8.085 ; 3.441 ; 1.254 ; 973 ; 2.760 ; 35.002 ; 4.532 ; 3.716 ; 3.063 ; 1.206 ; 3.222 ; 2.077 ; 4.602 ; 5.944 ; 2.649 ; 3.321 ; 3.609 ; 3.252 ; 41.196 ; 4.374 ; 4.841 ; 3.611 ; 2.941 ; 2.167 ; 3.084 ; 2.748 ; 3.288 ; 3.022 ; 2.828 ; 2.673 ; 4.054 ; 39.631 ; 3.874 ; 5.267 ; 2.195 ; 3.159 ; 2.918 ; 3.765 ; 4.004 ; 8.203 ; 3.607 ; 2.852 ; 2.808 ; 4.058 ; 46.710 ; 6.342 ; 5.630 ; 8.118 ; 4.711 ; 2.339 ;
